"","Charges"
"17703","WRIT-WHS $1200 OR 90 DAYS LCJ"
"17704","DOR/RUFF/FRANCIS"
"17705","VOP/FTA/DRIVING WHILE LICENSE REVOKED"
"17706","(HABITUAL OFFENDER)"
"17707","VOP/FTA/DRIVING UNDER THE INFLUENCE"
"17708","TRESPASSING FAIL TO LEAVE PROPERTY"
"17709","UPON ORDER BY OWNER"
"17710","DISORDERLY CONDUCT"
"17711","VOP/HIRE VEHICLE WITH INTENT TO"
"17712","DEFRAUD"
"17713","FRAUD UTTER FALSE INSTRUMENT"
"17714","NARCOTIC EQUIP-POSSESS AND OR USE"
"17715","PETIT THEFT 1ST OFF"
"17716","FTA/NONMOVING TRAFFIC VIOL DRIVE"
"17717","WHILE LIC SUSP 2ND OFF"
"17718","DUI ALCOHOL OR DRUGS"
"17719","DOMV/BATTERY TOUCH OR STRIKE"
"17720","DRUGS-POSSESS POSSESS"
"17721","METHAMPHETAMINE"
"17722","NARCOTIC EQUIP-POSSESS AND OR USE"
"17723","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"17724","WHILE LICE SUSPENDED REVOKED"
"17725","NONMOVING TRAFFIC VIOL ATTACH"
"17726","REGISTRATION LICENSE PLATE NOT"
"17727","ASSIGNED"
"17728","LOITERING OR PROWLING"
"17729","DOMV/BATTERY 2ND OR SUBSQ OFF"
"17730","DOMV/BATTERY 2ND OR SUBSQ OFF"
"17731","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"17732","WITHOUT PRESCRIPTION"
"17733","MARIJUANA-POSSESS NOT MORE THAN 20"
"17734","GRAMS"
"17735","TRESPASSING STRUCTURE OR CONVEYANCE"
"17736","HOLD FOR FLORIDA COMMISSION ON"
"17737","OFFENDER REVIEW"
"17738","GRAND THEFT IS $300 OR MORE BUT LESS"
"17739","THAN $5000"
"17740","BURGL UNOCCUPIED DWELLING UNARMED"
"17741","FLEE/ELUDE POLICE FLEE W DISREGARD OF"
"17742","SAFETY TO PERSONS OR PROP"
"17743","GRAND THEFT OF  MOTOR VEHICLE"
"17744","PETIT THEFT THIRD OR SUBSQ OFF"
"17745","CRIMES AGAINST PERSON RESIST PROP"
"17746","RECOVERY RETAIL MERCHANT OR FARMER"
"17747","GRAND THEFT OF FIRE EXTINGUISHER"
"17748","DAMAGE PROP  INJUR DEST REMOVE"
"17749","INTERFER W FIREFIGHTER EQUIP"
"17750","DAMAGE PROP-CRIM MISCH OVER 200"
"17751","DOLLARS UNDER 1000 DOLLARS"
"17752","GRAND THEFT IS $300 OR MORE BUT LESS"
"17753","THAN $5000"
"17754","DOC HOLD UNTIL 4/8/2018"
"17755","OUT-OF-COUNTY"
"17756","WARRANT///HILLSBOROUGH COUNTY"
"17757","OUT-OF-COUNTY WARRANT///WAKULLA"
"17758","COUNTY // RETAIL THEFT/"
"17759","CASE#WCSO18OFF000298//BND: 5000"
"17760","ARMED BURGLARY OF A DWELLING WITH"
"17761","FIREARM"
"17762","CRIMINAL MISCHIEF"
"17763","FELONY BATTERY"
"17764","VOP/ATTEMPTED ARMED ROBBERY WITH"
"17765","DEADLY WEAPON"
"17766","BATTERY TOUCH OR STRIKE"
"17767","DOM/BATTERY TOUCH OR STRIKE"
"17768","TRANSPORT FAVOR FOR BROWARD COUNTY"
"17769","RETURN TO PRISON"
"17770","HOLD FOR DOC NWFRC ANNEX"
"17771","HOLD FOR BAY COUNTY/SENTENCED TO DOC"
"17772","GRAND THEFT IS $300 OR MORE BUT LESS"
"17773","THAN $5000"
"17774","AGGRAV ASSAULT  W DEADLY WEAPON"
"17775","WITHOUT INTENT TO KILL"
"17776","RECKLESS DRIVING 1ST OFF"
"17777","FTA/DRIVING UNDER THE INFLUENCE"
"17778","GRAND THEFT OF  MOTOR VEHICLE"
"17779","DOM/AGGRAV BATTERY OFFENDR"
"17780","KNEW/SHOULD HAVE KNOWN VICT"
"17781","PREGNANT"
"17782","DOMESTIC BATTERY"
"17783","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"17784","WITHOUT PRESCRIPTION"
"17785","NARCOTIC EQUIP-POSSESS AND OR USE"
"17786","TRESPASSING OCCUPIED STRUCTURE OR"
"17787","CONVEYANCE"
"17788","BATTERY TOUCH OR STRIKE"
"17789","VOP/BURGLARY OF STRUCTURE"
"17790","GRAND THEFT IS $300 OR MORE BUT LESS"
"17791","THAN $5000"
"17792","BATTERY TOUCH OR STRIKE"
"17793","BATTERY TOUCH OR STRIKE"
"17794","CARRYING CONCEALED WEAPON"
"17795","UNLICENSED ELECTRIC WEAPON OR DEVICE"
"17796","MARIJUANA-POSSESS NOT MORE THAN 20"
"17797","GRAMS"
"17798","CARRYING CONCEALED WEAPON"
"17799","UNLICENSED ELECTRIC WEAPON OR DEVICE"
"17800","MARIJUANA-POSSESS NOT MORE THAN 20"
"17801","GRAMS"
"17802","TRESPASSING STRUCTURE OR CONVEYANCE"
"17803","HOLD FOR DOC/CALHOUN CI"
"17804","OVERNIGH HOLD // BROWARD"
"17805","COUNTY//AGG. BATTERY//"
"17806","GRAND THEFT IS $300 OR MORE BUT LESS"
"17807","THAN $5000"
"17808","DOMV///AGGRAV BATTERY PERSON USES A"
"17809","DEADLY WEAPON"
"17810","PETIT THEFT 1ST OFF"
"17811","NARCOTIC EQUIP-POSSESS AND OR USE"
"17812","VOP/DEALING IN STOLEN PROPERTY"
"17813","VOP/DEFRAUDING A PAWNBROKER"
"17814","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"17815","SUSP 1ST OFF"
"17816","AGGRAV BATTERY ON OFFICER FIREFIGHTER"
"17817","EMT ETC"
"17818","RESIST OFFICER - FLEE ELUDE LEO WITH"
"17819","LIGHTS SIREN ACTIVE"
"17820","OVERNIGHT HOLD /// BROWARD"
"17821","COUNTY//2ND DEGREE MURDER"
"17822","TRESPASSING PROPERTY NOT STRUCTURE"
"17823","OR CONVEY"
"17824","VOP/BANK FRAUD"
"17825","VOP/UTTERING"
"17826","OVERNIGH HOLD// BROWARD"
"17827","COUNTY//OPERATE VEHICLE NO VALID"
"17828","LICENSE"
"17829","POSSESSION OF 3,4-"
"17830","METHYLENEDIOXYMETHAMPHETAMINE"
"17831","(MDMA)"
"17832","POSSESSION OF CANNABIS"
"17833","POSSESSION OF PARAPHERNALIA"
"17834","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"17835","SUSP HABITUTAL"
"17836","MARIJUANA-POSSESS NOT MORE THAN 20"
"17837","GRAMS"
"17838","GRAND THEFT OF  MOTOR VEHICLE"
"17839","OUT-OF-COUNTY WARRANT///CHARLOTTE"
"17840","COUNTY// CASE#18-49649//GRAND THEFT"
"17841","ARMED ROBBERY WITH FIREARM"
"17842","BURGLARY OF A DWELLING ARMED WITH"
"17843","FIREARM"
"17844","VOP/DOMV/FELONY BATTERY"
"17845","FTA/PETIT THEFT"
"17846","POSSESSION OF PARAPHERNALIA"
"17847","VOP/LEWD OR LASCIVIOUS BATTERY"
"17848","POSSESSION OF MARIJUANA OIL"
"17849","POSSESSION OF CANNABIS"
"17850","POSSESSION OF PARAPHERNALIA"
"17851","POSSESSION OF CONTROLLED SUBSTANCE"
"17852","(COCAINE)"
"17853","DISORDERLY CONDUCT"
"17854","PASSING WORTHLESS BANK CHECK"
"17855","VOP/RECKLESS DRIVING 1ST OFF"
"17856","VOP/DOMESTIC BATTERY"
"17857","VOP/FTA/DRIVING UNDER THE INFLUENCE"
"17858","WITH BREATH ALCOHOL OF .15 OR HIGHER"
"17859","GRAND THEFT IS $300 OR MORE BUT LESS"
"17860","THAN $5000"
"17861","DETAINER HOLD FOR WAKULLA COUNTY"
"17862","SHERIFF OFFICE/CASE#WCSO17OFF2301"
"17863","GRAND THEFT"
"17864","RESISTING OFFICER WITHOUT VIOLENCE"
"17865","PETIT THEFT THIRD OR SUBSQ OFF"
"17866","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"17867","WITHOUT PRESCRIPTION"
"17868","VOP/POSSESSION OF COCAINE WITH INTENT"
"17869","TO SELL OR DELIVER"
"17870","VOP/POSSESSION OF CANNABIS WITH"
"17871","INTENT TO SELL"
"17872","VOP/DRIVING WHILE LICENSE PERMANENTLY"
"17873","REVOKED"
"17874","FELONY THEFT"
"17875","PUBLIC ASSISTANCE FRAUD"
"17876","HIRE VEHICLE WITH INTENT TO DEFRAUD"
"17877","HOLD FOR US MARSHAL CASE# 17CR00048"
"17878","DANGEROUS DRUGS NO BOND"
"17879","BURGLARY UNOCCUPIED CONVEYANCE"
"17880","UNARMED"
"17881","TRANSPORT FAVOR PINELLAS CO"
"17882","HOLD AND RETURN TO DOC/JACKSON CI"
"17883","COUNTERFEITING OF LIC PLATES"
"17884","VALIDATION STICKERS MOBILE HOME"
"17885","BATTERY TOUCH OR STRIKE"
"17886","AGGRAV ASSAULT  W DEADLY WEAPON"
"17887","WITHOUT INTENT TO KILL"
"17888","VOP/DAMAGE PROP-CRIM MISCH OVER 200"
"17889","DOLLARS UNDER 1000 DOLLARS"
"17890","FTA/MARIJUANA-POSSESS NOT MORE THAN"
"17891","20 GRAMS"
"17892","FTA/NARCOTIC EQUIP-POSSESS AND OR USE"
"17893","FTA/NOVALID MOTORCYCLE ENDORSEMENT"
"17894","DUI ALCOHOL OR DRUGS"
"17895","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"17896","WHILE LICE SUSPENDED REVOKED"
"17897","OUT-OF-COUNTY WARRANT/VOP/LEWD AND"
"17898","LASCIVIOUS BATTERY/GADSDEN CO"
"17899","FTA/DISORDERLY INTOXICATION"
"17900","POSSESSION OF METHAMPHETAMINE"
"17901","POSSESSION OF CANNABIS"
"17902","POSSESSION OF PARAPHERNALIA"
"17903","LEWD LASCV BEHAVIOR OFFENDER 18 YOA"
"17904","OLDER VICTIM LESS 16 YOA"
"17905","POSSESSION OF COCAINE"
"17906","NO VALID DRIVER'S LICENSE"
"17907","FTA/MOVING TRAFFIC VIOL KNOWINGLY"
"17908","DRIVE WHILE LICE SUSPENDED REVOKED"
"17909","REFUSE TO SUBMIT TO DUI TEST"
"17910","DRUGS-POSSESS POSSESS"
"17911","METHAMPHETAMINE"
"17912","NARCOTIC EQUIP-POSSESS AND OR USE"
"17913","TRANSPORT FAVOR/PINELLAS CO"
"17914","HOLD AND RETURN TO DOC/ACI EAST UNIT"
"17915","OUT-OF-COUNTY WARRANT/HERNANDO CO"
"17916","SO/CASE# 1123CF/ RETAIL THEFT 300 OR"
"17917","MORE"
"17918","CONSERVATION-ANIMALS CAUSE CRUEL"
"17919","DEATH PAIN AND SUFFERING"
"17920","PETIT THEFT 1ST OFF"
"17921","FTA/VIOLATION OF DOMESTIC VIOLENCE"
"17922","INFJUNCTION"
"17923","AGGRAVATED ASSAULT WIT COMMIT FELONY"
"17924","BURGLARY UNOCCUPIED CONVEYANCE"
"17925","UNARMED"
"17926","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"17927","JUSTICE////GEORGIA, DECATUR"
"17928","COUNTY//CASE#18030020//AGG ASSAULT//"
"17929","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"17930","SUSP 2ND OFF"
"17931","GRAND THEFT OF  MOTOR VEHICLE"
"17932","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"17933","SUSP HABITUTAL"
"17934","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"17935","PERSON UNDER 18 IN VEHICLE"
"17936","DUI AND DAMAGE PROPERTY OR PERSON OF"
"17937","ANOTHER"
"17938","OUT-OF-COUNTY WARRANT/ LIBERTY CO"
"17939","SO/CASE # 98-49-TM/ FTA-DWLSR"
"17940","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"17941","SUSP HABITUTAL"
"17942","HIT AND RUN LEAVE SCENE OF CRASH"
"17943","INVOLVE DAMAGE TO PROP-MORE THAN $50"
"17944","DAMAGE"
"17945","MARIJUANA-POSSESS NOT MORE THAN 20"
"17946","GRAMS"
"17947","HOLD FOR OSCEOLA COUNTY SHERIFFS"
"17948","OFFICE FTA/ DRIVE WITH EXPIRED LICENSE"
"17949","FOR MORE THAN 6 MONTH"
"17950","DRIVE WITH EXPIRED LICENSE FOR MORE"
"17951","THAN 6 MONTHS"
"17952","FAVOR HOLD TRANSPORT PINELLAS SHERIFF"
"17953","COUNTY"
"17954","HOLD AND RETURN TO DOC/JEFFERSON"
"17955","CORR INST"
"17956","VOP/DRIVING UNDER THE INFLUENCE"
"17957","FTA/BATTERY"
"17958","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"17959","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"17960","WITHOUT PRESCRIPTION"
"17961","VOP/ROBBERY"
"17962","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"17963","UND 300 DOLS"
"17964","PETIT THEFT 1ST OFF"
"17965","FTA/DRIVING WHILE LICENSE REVOKED"
"17966","(HABITUAL OFFENDER)"
"17967","FTA/DRIVING WHILE LICENSE SUSPENDED"
"17968","OR REVOKED"
"17969","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"17970","WITHOUT PRESCRIPTION"
"17971","MARIJUANA-POSSESS NOT MORE THAN 20"
"17972","GRAMS"
"17973","NARCOTIC EQUIP-POSSESS AND OR USE"
"17974","COCAINE-POSSESS WITH INTENT TO SELL"
"17975","MFG DELIV ETC SCHEDULE II"
"17976","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"17977","VEHICLE WO VALID LICENSE"
"17978","PETIT THEFT 1ST OFF"
"17979","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"17980","VEHICLE WO VALID LICENSE"
"17981","PETIT THEFT 2ND OFF"
"17982","VOP/FTA/DWLSR"
"17983","DOMV/BATTERY TOUCH OR STRIKE"
"17984","BATTERY CAUSE BODILY HARM"
"17985","PETIT THEFT THIRD OR SUBSQ OFF"
"17986","VIOLATION OF PROBATION OR COMMUNITY"
"17987","CONTROL"
"17988","GRAND THEFT IS $300 OR MORE BUT LESS"
"17989","THAN $5000"
"17990","FRAUD FAIL REDELIV HIRED LEASED PROP"
"17991","300 DOLS OR OVR"
"17992","FTA/DRIVING WHILE LICENSE SUSPENDED"
"17993","OR REVOKED"
"17994","FTA/POSSESSION OF CANNABIS"
"17995","PETIT THEFT 1ST OFF"
"17996","BURGL UNOCCUPIED STRUCTURE UNARMED"
"17997","PETIT THEFT 1ST OFF"
"17998","DAMAGE PROP-CRIM MISCH 200 DOLLARS"
"17999","AND UNDER"
"18000","BURGLARY OF CONVEYANCE"
"18001","GIVING FALSE NAME OR IDENTIFICATION TO"
"18002","OFFICER"
"18003","POSSESSION OF CONTROLLED SUBSTANCE"
"18004","POSSESSION OF CANNABIS"
"18005","NARCOTIC EQUIP-POSSESS AND OR USE"
"18006","FAVOR HOLD FOR HILLSBOROUGH COUNTY"
"18007","SHERIFF OFFICE"
"18008","MARIJUANA-POSSESS POSSESS MARIJUANA"
"18009","OVER 20 GRAMS"
"18010","MARIJUANA-POSSESS WITH INTENT TO SELL"
"18011","MFG OR DELIVER SCHEDULE I"
"18012","NARCOTIC EQUIP-POSSESS AND OR USE"
"18013","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"18014","MISUSE 911 OR E911 SYSTEM"
"18015","VOP/FTA/CRIMINAL MISCHIEF (OVER $200"
"18016","UNDER $1000 DAMAGES)"
"18017","HARASSING A VICTIM"
"18018","HOLD FOR ALACHUA COUNTY SHERIFF"
"18019","OFFICE/CASE#012017CF004488A/VOP DRUG"
"18020","POSSESSION WITHOUT"
"18021","PERSCRIPTION/COCAINE POSSESSION NO"
"18022","BOND"
"18023","FRAUD-FALSE STATEMENT IN TITLE"
"18024","TRANSFER"
"18025","GRAND THEFT OF  MOTOR VEHICLE"
"18026","GRAND THEFT $20,000 LESS THAN $100,000
TRESPASSING FAIL TO LEAVE PROPERTY
UPON ORDER BY OWNER
"
"18027","OUT-OF-COUNTY WARRANT/ALACHUA CO"
"18028","SO/ VOP PRETRIAL RELEASE/ LARC PETIT"
"18029","THEFT 1ST DEGREE LESS 300 DOLS"
"18030","PUBLIC ASSISTANCE FRAUD"
"18031","DOMV//BATTERY CAUSE BODILY HARM"
"18032","KIDNAP-FALSE IMPRISONMENT ADULT"
"18033","MURDER - FIRST DEGREE"
"18034","ARMED ROBBERY WITH FIREARM"
"18035","ARMED CARJACKING WITH A FIREARM"
"18036","KIDNAPPING TO FACILITATE FELONY WITH"
"18037","FIREARM"
"18038","LEON TRANSPORT CASE#13CF02836"
"18039","HOLD AND RETURN TO DOC/TAYLOR CI"
"18040","MURDER - FIRST DEGREE"
"18041","ARMED ROBBERY WITH FIREARM"
"18042","ARMED CARJACKING WITH A FIREARM"
"18043","KIDNAPPING TO FACILITATE FELONY WITH"
"18044","FIREARM"
"18045","LEON TRANSPORT CASE#13CF02836"
"18046","HOLD AND RETURN TO DOC/TAYLOR CI"
"18047","BURGLARY OF CONVEYANCE"
"18048","CARRYING A CONCEALED WEAPON"
"18049","RESISTING OFFICER WITHOUT VIOLENCE"
"18050","BURGL OF STRUCTURE CONVEYANCE"
"18051","UNARMED WO PERS INSIDE"
"18052","VOP/DEFRAUDING A PAWNBROKER"
"18053","VOP/FAILURE TO REDELIVER LEASED"
"18054","PROPERTY"
"18055","VOP/DEALING IN STOLEN PROPERTY"
"18056","DRIVING WHILE LICENSE REVOKED"
"18057","(HABITUAL OFFENDER)"
"18058","MARIJUANA-POSSESS NOT MORE THAN 20"
"18059","GRAMS"
"18060","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"18061","SUSP HABITUTAL"
"18062","WARRANTLESS VOP HILLSBOROUGH CO SO//"
"18063","GRAND THEFT MOTOR VEHICLE//1710632"
"18064","WARRANTLESS VOP HILLSBOROUGH CO"
"18065","SO//UNAUTH POSS USE OF DL/ID//1710632"
"18066","WARRANTLESS VOP HILLSBOROUGH CO SO//"
"18067","UNAUTH POSS/ USE OF DL ID//1710632"
"18068","HALLUCINOGEN-SELL SCHEDULE II"
"18069","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"18070","MARIJUANA-POSSESS NOT MORE THAN 20"
"18071","GRAMS"
"18072","NARCOTIC EQUIP-POSSESS AND OR USE"
"18073","DUI ALCOHOL OR DRUGS"
"18074","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"18075","PERSON UNDER 18 IN VEHICLE"
"18076","OUT-OF-COUNTY WARRANT///GADSDEN"
"18077","COUNTY//CASE#16325CFMA//POSS. OF A"
"18078","CONTROLLED SUBSTANCE/DRIVING WLSR"
"18079","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"18080","WITHOUT PRESCRIPTION"
"18081","MARIJUANA-POSSESS NOT MORE THAN 20"
"18082","GRAMS"
"18083","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"18084","DRUGS POSSESS NEW LEGEND DRUG WO"
"18085","PRESCRIPTION"
"18086","TRESPASSING FAIL TO LEAVE PROPERTY"
"18087","UPON ORDER BY OWNER"
"18088","RESIST OFFICER - FLEE ELUDE LEO WITH"
"18089","LIGHTS SIREN ACTIVE"
"18090","TRESPASSING FAIL TO LEAVE PROPERTY"
"18091","UPON ORDER BY OWNER"
"18092","PETIT THEFT 2ND OFF"
"18093","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"18094","WITHOUT PRESCRIPTION"
"18095","MARIJUANA-POSSESS NOT MORE THAN 20"
"18096","GRAMS"
"18097","NARCOTIC EQUIP-POSSESS AND OR USE"
"18098","MARIJUANA-POSSESS NOT MORE THAN 20"
"18099","GRAMS"
"18100","RESIST OFFICER - FLEE ELUDE LEO WITH"
"18101","LIGHTS SIREN ACTIVE"
"18102","VOP/UTTERING"
"18103","VOP/GRAND THEFT"
"18104","FTA/POSSESSION OF 3,4-"
"18105","METHLENEDIOXYMETHAMPHETAMINE"
"18106","(MDMA)"
"18107","FTA/POSSESSION OF CANNABIS"
"18108","BATTERY TOUCH OR STRIKE"
"18109","FTA/POSSESSION OF METHAMPHETAMINE"
"18110","RESIST OFFICER - FLEE ELUDE LEO WITH"
"18111","LIGHTS SIREN ACTIVE"
"18112","MARIJUANA-POSSESS NOT MORE THAN 20"
"18113","GRAMS"
"18114","DUI ALCOHOL OR DRUGS"
"18115","BATTERY"
"18116","DISORDERLY CONDUCT"
"18117","RESISTING OFFICER WITHOUT VIOLENCE"
"18118","BATTERY TOUCH OR STRIKE"
"18119","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"18120","DUI ALCOHOL OR DRUGS"
"18121","DUI AND DAMAGE PROPERTY OR PERSON OF"
"18122","ANOTHER"
"18123","NONMOVING TRAFFIC VIOL - DRIVE WITH"
"18124","SUSPENDED REVOKED LICENSE"
"18125","VOP/POSSESSION OF FIREARM BY"
"18126","DELINQUENT"
"18127","VOP/AGGRAVATED ASSAULT WITH DEADLY"
"18128","WEAPON"
"18129","VOP/BURGLARY OF STRUCTURE"
"18130","VOP/DRIVING UNDER THE INFLUENCE WITH"
"18131","BREATH ALCOHOL OF .15 OR HIGHER"
"18132","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"18133","VOP/FTA/POSSESSION OF CONTROLLED"
"18134","SUBSTANCE"
"18135","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"18136","WHILE LICE SUSPENDED REVOKED"
"18137","FTA/PETIT THEFT"
"18138","MARIJUANA-POSSESS POSSESS MARIJUANA"
"18139","OVER 20 GRAMS"
"18140","HOLD DOC GULF CI"
"18141","ROBBERY"
"18142","FTA/LIQUOR-POSSESS BY PERSON UNDER 21"
"18143","YOA 1ST OFF"
"18144","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"18145","CONTEMPT OF COURT VIOLATION"
"18146","INJUNCTION PROTECTION DOMESTIC"
"18147","VIOLENCE"
"18148","TRESPASSING STRUCTURE OR CONVEYANCE"
"18149","POSSESSION OF CONTROLLED SUBSTANCE"
"18150","POSSESSION OF PARAPHERNALIA"
"18151","POSSESSION OF WEAPON OR AMMO BY"
"18152","CONVICTED FLORIDA FELON"
"18153","HIT AND RUN LEAVE SCENE OF CRSH"
"18154","INVOLVE DAMAGE TO PROP- LESS THAN $50"
"18155","DAMAGE"
"18156","PETIT THEFT 1ST OFF"
"18157","POSSESSION OF CONTROLLED SUBSTANCE"
"18158","POSSESSION OF PARAPHERNALIA"
"18159","POSSESSION OF WEAPON OR AMMO BY"
"18160","CONVICTED FLORIDA FELON"
"18161","HIT AND RUN LEAVE SCENE OF CRSH"
"18162","INVOLVE DAMAGE TO PROP- LESS THAN $50"
"18163","DAMAGE"
"18164","PETIT THEFT 1ST OFF"
"18165","BURGL UNOCCUPIED DWELLING UNARMED"
"18166","GRAND THEFT OF FIREARM"
"18167","GRAND THEFT - THIRD DEGREE ($100 TO"
"18168","$300 VALUE FROM DWELLING OR"
"18169","CURTILAGE)"
"18170","VOP/FELONY THEFT"
"18171","FRAUD UTTER FALSE INSTRUMENT"
"18172","FELONY BATTERY"
"18173","TRESPASS ON PROPERTY AFTER WARNING"
"18174","TRESPASSING STRUCTURE OR CONVEYANCE"
"18175","TRESPASSING FAIL TO LEAVE PROPERTY"
"18176","UPON ORDER BY OWNER"
"18177","WRIT/ WHS $500 OR 30 DAYS LCJ DOR/"
"18178","RUFF/MARSH"
"18179","OUT-OF-COUNTY WARRANT///ALACHUA"
"18180","COUNTY//CASE# 01217MM001442A/"
"18181","BATTERY TOUCH OR STRIKE// BND//10000"
"18182","OUT-OF-COUNTY WARRANT///ALACHUA"
"18183","COUNTY//CASE# 01217MM001442A/"
"18184","IMPROPER EXHIBIT OF FIREARM //"
"18185","BND//10000"
"18186","OUT-OF-COUNTY WARRANT///ALACHUA"
"18187","COUNTY//CASE#"
"18188","01217MM001442A/DOMESTIC VIOLENCE//"
"18189","BND//10000"
"18190","POSSESSION OF FIREARM BY CONVICTED"
"18191","FELON"
"18192","POSSESSION OF CANNABIS"
"18193","HOLD FOR GADSDEN"
"18194","COUNTY/VOP/BURGLARY UNOCCUPIED"
"18195","STRUCTURE/CONVEYANCE/16-257"
"18196","FTA/POSSESSION OF PVP"
"18197","FTA/TRESPASS ON PROPERTY AFTER"
"18198","WARNING"
"18199","BATTERY TOUCH OR STRIKE"
"18200","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"18201","SUSP 3RD OR SUBSQ OFF"
"18202","FAVOR HOLD FOR SANTA ROSA CI/DOC"
"18203","MARIJUANA-POSSESS POSSESS MARIJUANA"
"18204","OVER 20 GRAMS"
"18205","NARCOTIC EQUIP-POSSESS AND OR USE"
"18206","DANGEROUS DRUGS KEEP SHOP OR VEHICLE"
"18207","ETC FOR DRUGS 1ST VIOL"
"18208","AGGRAV BATTERY PERSON USES A DEADLY"
"18209","WEAPON"
"18210","FTA/\DRIVING WHILE LICENSE SUSPENDED"
"18211","OR REVOKED"
"18212","BATTERY TOUCH OR STRIKE"
"18213","VOP/ATTEMPTED CARJACKING"
"18214","TRESPASSING FAIL TO LEAVE PROPERTY"
"18215","UPON ORDER BY OWNER"
"18216","FRAUD UTTER FALSE INSTRUMENT"
"18217","TRESPASSING PROPERTY NOT STRUCTURE"
"18218","OR CONVEY"
"18219","VOP/GRAND THEFT"
"18220","PETIT THEFT THIRD OR SUBSQ OFF"
"18221","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"18222","FAVOR HOLD FOR HOLMES CI/DOC"
"18223","FTA/PASSING WORTHLESS BANK CHECK"
"18224","VOP/FTA/GRAND THEFT - THIRD DEGREE"
"18225","($100 TO $300 VALUE FROM DWELLING OR"
"18226","CURTILAGE)"
"18227","VOP/FTA/DEALING IN STOLEN PROPERTY"
"18228","VOP/FTA/DEFRAUDING A PAWNBROKER"
"18229","POSSESSION OF CANNABIS WITH INTENT TO"
"18230","SELL"
"18231","MAINTAINING PLACE WHERE CONTROLLED"
"18232","SUBSTANCES ARE USED"
"18233","POSSESSION OF PARAPHERNALIA"
"18234","FTA/FAILURE TO REPORT"
"18235","BATTERY UPON SCHOOL EMPLOYEE"
"18236","BATTERY BY INMATE"
"18237","BURGL WITH ASSAULT OR BATTERY"
"18238","DOMV/BATTERY CAUSE BODILY HARM"
"18239","BATTERY TOUCH OR STRIKE"
"18240","DAMAGE PROP-CRIM MISCH 200 DOLLARS"
"18241","AND UNDER"
"18242","FAMILY OFFENSE INTERFERE W CUSTODY OF"
"18243","MINOR INCOMP PERSON"
"18244","KIDNAP INFLICT BODILY HARM OR"
"18245","TERRORIZE VICT OR OTHER"
"18246","GRAND THEFT 3RD DEGREE DWEL PROP 100"
"18247","TO UND 300 DOLS"
"18248","GRAND THEFT OF  MOTOR VEHICLE"
"18249","DOMV/AGGRAV BATTERY PERSON USES A"
"18250","DEADLY WEAPON"
"18251","DOMV/CRUELTY TOWARD  CHILD ABUSE"
"18252","CHILD WITHOUT GREAT BODILY HARM"
"18253","OUT-OF-COUNTY WARRANT/LIBERTY"
"18254","COUNTY/POSS OF CONTROLLED"
"18255","SUBSTANCE18-40-CF"
"18256","OUT-OF-COUNTY WARRANT/LIBERTY"
"18257","COUNTY/POSS OF PARAPHERNALIA18-40-CF"
"18258","OUT-OF-COUNTY WARRANT/LIBERTY"
"18259","COUNTY/POSS OF FIREARM BY CONVICTED"
"18260","FELON/18-40-CF"
"18261","HOMICIDE-NEGLIG MANSL-VEH KILLING OF"
"18262","PERSON VIABLE FETUS W VEH"
"18263","CARRYING A CONCEALED FIREARM"
"18264","POSSESSION OF CANNABIS WITH INTENT TO"
"18265","SELL"
"18266","POSSESSION OF PARAPHERNALIA"
"18267","HOLD FOR HILLSBOROUGH COUNTY"
"18268","HOLD FOR DOC (GULF)  BURGLARY /GRAND"
"18269","THEFT"
"18270","SALE OR POSSESSION OF CONTROLLED"
